Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:17.395,"urn:cite:hmt:vaimg.VA231RN-0402@0.198,0.5357,0.359,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:17.396,"urn:cite:hmt:vaimg.VA231RN-0402@0.195,0.556,0.359,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:17.397,"urn:cite:hmt:vaimg.VA231RN-0402@0.195,0.574,0.354,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:17.398,"urn:cite:hmt:vaimg.VA231RN-0402@0.195,0.5905,0.354,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:17.399,"urn:cite:hmt:vaimg.VA231RN-0402@0.194,0.6078,0.347,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:17.400,"urn:cite:hmt:vaimg.VA231RN-0402@0.186,0.6258,0.365,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:17.401,"urn:cite:hmt:vaimg.VA231RN-0402@0.191,0.6431,0.373,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:17.402,"urn:cite:hmt:vaimg.VA231VN-0733@0.49,0.2322,0.318,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:17.403,"urn:cite:hmt:vaimg.VA231VN-0733@0.492,0.2554,0.318,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:17.404,"urn:cite:hmt:vaimg.VA231VN-0733@0.494,0.2727,0.318,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:17.405,"urn:cite:hmt:vaimg.VA231VN-0733@0.495,0.2893,0.324,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:17.406,"urn:cite:hmt:vaimg.VA231VN-0733@0.489,0.3043,0.336,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:17.407,"urn:cite:hmt:vaimg.VA231VN-0733@0.495,0.3238,0.341,0.0195"
urn:cts:greekLit:tlg0012.tlg001.msA:17.408,"urn:cite:hmt:vaimg.VA231VN-0733@0.494,0.3434,0.335,0.0195"
urn:cts:greekLit:tlg0012.tlg001.msA:17.409,"urn:cite:hmt:vaimg.VA231VN-0733@0.489,0.3576,0.307,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:17.410,"urn:cite:hmt:vaimg.VA231VN-0733@0.483,0.3779,0.329,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:17.411,"urn:cite:hmt:vaimg.VA231VN-0733@0.496,0.3952,0.335,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:17.412,"urn:cite:hmt:vaimg.VA231VN-0733@0.482,0.411,0.353,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:17.413,"urn:cite:hmt:vaimg.VA231VN-0733@0.491,0.4313,0.326,0.0188"
urn:cts:greekLit:tlg0012.tlg001.msA:17.414,"urn:cite:hmt:vaimg.VA231VN-0733@0.483,0.4455,0.331,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:17.415,"urn:cite:hmt:vaimg.VA231VN-0733@0.485,0.4643,0.304,0.0188"
urn:cts:greekLit:tlg0012.tlg001.msA:17.416,"urn:cite:hmt:vaimg.VA231VN-0733@0.491,0.4838,0.323,0.0165"
urn:cts:greekLit:tlg0012.tlg001.msA:17.417,"urn:cite:hmt:vaimg.VA231VN-0733@0.491,0.4981,0.344,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:17.418,"urn:cite:hmt:vaimg.VA231VN-0733@0.492,0.5169,0.321,0.0188"
urn:cts:greekLit:tlg0012.tlg001.msA:17.419,"urn:cite:hmt:vaimg.VA231VN-0733@0.491,0.5334,0.334,0.0188"
urn:cts:greekLit:tlg0012.tlg001.msA:17.420,"urn:cite:hmt:vaimg.VA231VN-0733@0.481,0.55,0.342,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:17.421,"urn:cite:hmt:vaimg.VA231VN-0733@0.482,0.568,0.362,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:17.422,"urn:cite:hmt:vaimg.VA231VN-0733@0.495,0.586,0.335,0.0195"
urn:cts:greekLit:tlg0012.tlg001.msA:17.423,"urn:cite:hmt:vaimg.VA231VN-0733@0.483,0.6048,0.359,0.0173"
urn:cts:greekLit:tlg0012.tlg001.msA:17.424,"urn:cite:hmt:vaimg.VA231VN-0733@0.485,0.6206,0.343,0.0195"
urn:cts:greekLit:tlg0012.tlg001.msA:17.425,"urn:cite:hmt:vaimg.VA231VN-0733@0.49,0.6386,0.348,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:17.426,"urn:cite:hmt:vaimg.VA231VN-0733@0.489,0.6559,0.337,0.0203"
