line,type,ὅτι scholion
urn:cts:greekLit:tlg0012.tlg001.msA:18.265,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:18.272,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:18.274,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:18.283,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:18.287,dotted diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.291,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:18.319,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:18.332,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.351,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:18.352,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:18.356,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.373,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.376,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.392,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.413,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.416,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.438,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.444,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:18.445,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:18.446,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:18.447,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:18.448,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:18.449,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:18.450,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:18.451,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:18.452,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:18.453,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:18.454,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:18.455,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:18.456,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:18.460,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:18.461,antisigma,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.470,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.492,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.495,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.496,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.502,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.512,diple-asterisk,
urn:cts:greekLit:tlg0012.tlg001.msA:18.519,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.540,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.550,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:18.560,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.570,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:18.583,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:18.584,dotted diple,
urn:cts:greekLit:tlg0012.tlg001.msA:18.589,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.590,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:18.595,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:18.596,diiple,
urn:cts:greekLit:tlg0012.tlg001.msA:18.597,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:18.598,obelos,
urn:cts:greekLit:tlg0012.tlg001.msA:18.604,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.8,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.10,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.14,dotted diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.15,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.25,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:19.26,dotted diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.34,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:19.41,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:19.42,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:19.45,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:19.49,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:19.51,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:19.62,diple,
