AnalysisRecord,PassageAnalyzed,QuotedString,Analysis,ReusedText
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.40,ἔλπετο,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.603
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.41,τοί δ' ἐβόησαν,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.607
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.43,ἀμύνοι,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.630
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.44,ἀφείη,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.631
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.45,οἵ που νῦν,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.637
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.46,ὁρᾶσθαι,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.646
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.48,τετιημένος ῆτορ,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.664
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.49,ΐδοιτο,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.681
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.49,όσσε δηλονότι,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.51,ἕως,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.727
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.51,τέως,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.1,ὑπὸ Τρώων δαμασθείς,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.7,δειλοισιν,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.38
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.7,δειλαίοις,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.8,χαλκός,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.44
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.8,χαλκόι,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.44
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAint.hmt:17.11,κεκλιγώς,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.88
