folio B,Iliad line B,folio Upsilon,Iliad line Upsilon
103v,8.38,98v,8.38
103v,8.41,98v,8.41
104r,8.60,99r,8.60
104r,8.66,99r,8.66
104v,8.71,99v,
104v,,99v,8.93
105r,8.97,100r,8.97
105r,8.102,100r,8.102
105r,8.112,100r,8.112
105v,8.125,100v,8.125
105v,8.130,100v,8.130
106r,8.145,101r,8.145
106r,8.151,101r,8.151
106r,8.157,101r,8.157
106r,8.167,101r,8.167
106v,,101v,8.173
106v,8.184,101v,8.184






