AnalysisRecord,PassageAnalyzed,QuotedString,Analysis,ReusedText
urn:cite:hmt:reuse.17_82,urn:cts:greekLit:tlg5026.msA.hmt:17.74,"ἔστι δὲ ὅτε καὶ αὐτὸς ἐποτρύνει μάχεσθαι",urn:cite:hmt:reusetype.,urn:cts:greekLit:tlg0012.tlg001.msA:17.178
urn:cite:hmt:reuse.17_83,urn:cts:greekLit:tlg5026.msA.hmt:17.77,"θέων ἐκίχανεν εταίρους ῶκα μάλα",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.189-17.190
urn:cite:hmt:reuse.17_84,urn:cts:greekLit:tlg5026.msA.hmt:17.77,"κραιπνοῖσι ποσὶ μετασπών",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.189-17.190
urn:cite:hmt:reuse.17_85,urn:cts:greekLit:tlg5026.msA.hmt:17.78,"ῶκα",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.189-17.190
urn:cite:hmt:reuse.17_86,urn:cts:greekLit:tlg5026.msA.hmt:17.79,"καταλαβών",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_87,urn:cts:greekLit:tlg5026.msA.hmt:17.79,"ἀέκων",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_88,urn:cts:greekLit:tlg5026.msA.hmt:17.84,"ἀ δείλ'",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.201
urn:cite:hmt:reuse.17_89,urn:cts:greekLit:tlg5026.msA.hmt:17.84,"ᾶ δεῖλ' οὐδε τί τοι θάνατος",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.201
urn:cite:hmt:reuse.17_90,urn:cts:greekLit:tlg5026.msA.hmt:17.84,"α δεῖλ' οὐδε τί τοι θανατος",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_91,urn:cts:greekLit:tlg5026.msA.hmt:17.84,"ᾶ δειλέ",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_92,urn:cts:greekLit:tlg5026.msA.hmt:17.84,"δειλαιε",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_93,urn:cts:greekLit:tlg5026.msA.hmt:17.85,"καταθύμιος",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.201
urn:cite:hmt:reuse.17_94,urn:cts:greekLit:tlg5026.msA.hmt:17.85,"κατα ψυχὴν",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.201
urn:cite:hmt:reuse.17_95,urn:cts:greekLit:tlg5026.msA.hmt:17.85,"καταθύμιον",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_96,urn:cts:greekLit:tlg5026.msA.hmt:17.86,"σχεδὸν",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.202
urn:cite:hmt:reuse.17_97,urn:cts:greekLit:tlg5026.msA.hmt:17.86,"ἐγγύς",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.202
urn:cite:hmt:reuse.17_98,urn:cts:greekLit:tlg5026.msA.hmt:17.86,"ὃς δή τοι σχεδὸν εἰσιν",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.202
urn:cite:hmt:reuse.17_99,urn:cts:greekLit:tlg5026.msA.hmt:17.90,"Άρης Ἐνυάλιος",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_100,urn:cts:greekLit:tlg5026.msA.hmt:17.90,"Ἀρήϊος",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_101,urn:cts:greekLit:tlg5026.msA.hmt:17.91,"μεγαθύμου Πηλείωνος",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.214
urn:cite:hmt:reuse.17_102,urn:cts:greekLit:tlg5026.msA.hmt:17.91,"μεγαθύμῳ Πηλείωνι",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.214
urn:cite:hmt:reuse.17_103,urn:cts:greekLit:tlg5026.msA.hmt:17.91,"λαμπόμενος",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.214
urn:cite:hmt:reuse.17_104,urn:cts:greekLit:tlg5026.msA.hmt:17.94,"Φόρκυνα",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_105,urn:cts:greekLit:tlg5026.msA.hmt:17.94,"βότρυν",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_106,urn:cts:greekLit:tlg5026.msA.hmt:17.95,"γὰρ",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.220
urn:cite:hmt:reuse.17_107,urn:cts:greekLit:tlg5026.msA.hmt:17.96,"Ἀχαιῶν",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.224
urn:cite:hmt:reuse.17_108,urn:cts:greekLit:tlg5026.msA.hmt:17.100,"τῷ",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.231
urn:cite:hmt:reuse.17_109,urn:cts:greekLit:tlg5026.msA.hmt:17.102,"πρός",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_110,urn:cts:greekLit:tlg5026.msA.hmt:17.102,"προσεῖπεν τὸν Μενέλαον",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_111,urn:cts:greekLit:tlg5026.msA.hmt:17.102,"προσείποι",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_112,urn:cts:greekLit:tlg5026.msA.hmt:17.103,"περι νέκυος",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_113,urn:cts:greekLit:tlg5026.msA.hmt:17.103,"περι Πατρόκλου",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_114,urn:cts:greekLit:tlg5026.msA.hmt:17.103,"περι νέκυος",urn:cite:hmt:reusetype.,langusage
urn:cite:hmt:reuse.17_115,urn:cts:greekLit:tlg5026.msA.hmt:17.104,"ὑπέρ",urn:cite:hmt:reusetype.langusage,langusage
urn:cite:hmt:reuse.17_116,urn:cts:greekLit:tlg5026.msA.hmt:17.104,"ὑπερ εμῆς κεφαλῆς",urn:cite:hmt:reusetype.,langusage
urn:cite:hmt:reuse.17_117,urn:cts:greekLit:tlg5026.msA.hmt:17.105,"ἐάν τις ἀκούσῃ",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.245
urn:cite:hmt:reuse.17_118,urn:cts:greekLit:tlg5026.msA.hmt:17.107,"πίνεται",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_119,urn:cts:greekLit:tlg5026.msA.hmt:17.107,"δήμια",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.250
urn:cite:hmt:reuse.17_120,urn:cts:greekLit:tlg5026.msA.hmt:17.110,"διϊπετέος",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.263
urn:cite:hmt:reuse.17_121,urn:cts:greekLit:tlg5026.msA.hmt:17.114,"Ἔκτορα δὲ φρένας δίὸς Ἄρης ὄτρυνεν μετελθών·",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.582
urn:cite:hmt:reuse.17_122,urn:cts:greekLit:tlg5026.msA.hmt:17.118,"γῆν δ' ἐτίναξε",urn:cite:hmt:reusetype.multiform,urn:cts:greekLit:tlg0012.tlg001.msA:17.595
urn:cite:hmt:reuse.17_123,urn:cts:greekLit:tlg5026.msA.hmt:17.118,"δὲ",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.595
urn:cite:hmt:reuse.17_124,urn:cts:greekLit:tlg5026.msA.hmt:17.119,"ἐπιλίγδην",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.599
urn:cite:hmt:reuse.17_125,urn:cts:greekLit:tlg5026.msA.hmt:17.119,"ἐπιλίγδην",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.599
urn:cite:hmt:reuse.17_126,urn:cts:greekLit:tlg5026.msA.hmt:17.119,"γράψεν δέ οἱ ὀστέον ἄχρις",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.599
urn:cite:hmt:reuse.17_127,urn:cts:greekLit:tlg5026.msA.hmt:17.121,"τοὶ δ' ἐφόβηθεν",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.607
urn:cite:hmt:reuse.17_128,urn:cts:greekLit:tlg5026.msA.hmt:17.121,"τοὶ δ' ἔβοησαν",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.607
urn:cite:hmt:reuse.17_129,urn:cts:greekLit:tlg5026.msA.hmt:17.122,"ὁ δ' Ἰδομενῆος ἀκόντισε δίφρῳ ἐφεσταότος",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.608-17.609
urn:cite:hmt:reuse.17_130,urn:cts:greekLit:tlg5026.msA.hmt:17.122,"καί κε Τρωσὶ μέγα κρατος",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.613
urn:cite:hmt:reuse.17_131,urn:cts:greekLit:tlg5026.msA.hmt:17.122,"πεζὸς γὰρ τὰ πρῶτα λιπών νέας ήλυθε",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.612-17.613
urn:cite:hmt:reuse.17_132,urn:cts:greekLit:tlg5026.msA.hmt:17.122,"πεζὸς γὰρ τὰ πρωτα",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.
urn:cite:hmt:reuse.17_133,urn:cts:greekLit:tlg5026.msA.hmt:17.122,"καί κεν Τρωσὶ μέγα κράτος",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.613
urn:cite:hmt:reuse.17_134,urn:cts:greekLit:tlg5026.msA.hmt:17.122,"ὁ δ' Ϊδομενῆος ἀκόντισε Δευκαλίδαο",urn:cite:hmt:reusetypequote1.,urn:cts:greekLit:tlg0012.tlg001.msA:17.608-17.609
urn:cite:hmt:reuse.17_135,urn:cts:greekLit:tlg5026.msA.hmt:17.122,"ὁ δ' Ἰδομενῆος ἀκόντισε Δευκαλίδαο δίφρω, ἐφεσταότος",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.608-17.609
urn:cite:hmt:reuse.17_136,urn:cts:greekLit:tlg5026.msA.hmt:17.122,"καί κε Τρωσὶ μέγα κράτος ἐγγυάλιξεν εἰ μὴ Κοίρανος ὦκα ποδώκεας ἤλασεν ἵππους·",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.613-17.614
urn:cite:hmt:reuse.17_137,urn:cts:greekLit:tlg5026.msA.hmt:17.122,"ὁ δ' Ἰδομενηος ἀκόντισε Δευκαλίδαο δίφρῳ ἐφεσταότος",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.608-17.609
urn:cite:hmt:reuse.17_138,urn:cts:greekLit:tlg5026.msA.hmt:17.122,"πεζὸς γὰρ τὰ πρωτα λιπὼν νέας ήλυθε",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.612-17.613
urn:cite:hmt:reuse.17_139,urn:cts:greekLit:tlg5026.msA.hmt:17.123,"πεζὸς γὰρ τὰ πρῶτα.",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.612
urn:cite:hmt:reuse.17_140,urn:cts:greekLit:tlg5026.msA.hmt:17.129,"οὕ πη",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.643
urn:cite:hmt:reuse.17_141,urn:cts:greekLit:tlg5026.msA.hmt:17.134,"βοὴν ἀγαθῷ",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_142,urn:cts:greekLit:tlg5026.msA.hmt:17.134,"βὴν ἀγαθὸν Μενέλαον",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.651
urn:cite:hmt:reuse.17_143,urn:cts:greekLit:tlg5026.msA.hmt:17.138,"ὑπὸ φόβου",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_144,urn:cts:greekLit:tlg5026.msA.hmt:17.138,"ὑπο φυγῆς",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_145,urn:cts:greekLit:tlg5026.msA.hmt:17.138,"ἕλωρ",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.667
urn:cite:hmt:reuse.17_146,urn:cts:greekLit:tlg5026.msA.hmt:17.138,"ἕλεμα",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_147,urn:cts:greekLit:tlg5026.msA.hmt:17.139,"ἵστησι τοὺς νεοσσοὺς πρὸς ἥλιον ὁ αετὸς ἀναγκάζων βλέπειν· καὶ ὁ δυνηθεὶς ὁρᾶν τοῦ ἀετοῦ ἐστιν υἱὸς. ὁ δὲ μὴ, ἐκβέβληται καὶ γεγονεν ἁλιαιετός",urn:cite:hmt:reusetype.,urn:cts:greekLit:tlg0012.tlg001.msA:17.675
urn:cite:hmt:reuse.17_148,urn:cts:greekLit:tlg5026.msA.hmt:17.140,"ΐδοιτό",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.681
urn:cite:hmt:reuse.17_149,urn:cts:greekLit:tlg5026.msA.hmt:17.140,"ὅσσε",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.679
urn:cite:hmt:reuse.17_150,urn:cts:greekLit:tlg5026.msA.hmt:17.141,"κυλίνδετο",urn:cite:hmt:reusetype.multiform1.,urn:cts:greekLit:tlg0012.tlg001.msA:17.688
urn:cite:hmt:reuse.17_151,urn:cts:greekLit:tlg5026.msA.hmt:17.141,"εκυλινδεῖτο",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_152,urn:cts:greekLit:tlg5026.msA.hmt:17.143,"οἱ πόδες ἔφερον",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.700
urn:cite:hmt:reuse.17_153,urn:cts:greekLit:tlg5026.msA.hmt:17.143,"τοὺς πόδας",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.700
urn:cite:hmt:reuse.17_154,urn:cts:greekLit:tlg5026.msA.hmt:17.144,"ανῆκεν",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.705
urn:cite:hmt:reuse.17_155,urn:cts:greekLit:tlg5026.msA.hmt:17.145,"ἐνοπῆς",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.714
urn:cite:hmt:reuse.17_156,urn:cts:greekLit:tlg5026.msAim.hmt:17.1,πρόσθε δε ου,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.7
urn:cite:hmt:reuse.17_157,urn:cts:greekLit:tlg5026.msAim.hmt:17.2,πρῶτος,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_158,urn:cts:greekLit:tlg5026.msAim.hmt:17.2,εμοῦ,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_159,urn:cts:greekLit:tlg5026.msAim.hmt:17.3,παρδάλιος,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.20
urn:cite:hmt:reuse.17_160,urn:cts:greekLit:tlg5026.msAim.hmt:17.4,τε,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.27
urn:cite:hmt:reuse.17_161,urn:cts:greekLit:tlg5026.msAim.hmt:17.4,οὐδέ τε,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.27
urn:cite:hmt:reuse.17_162,urn:cts:greekLit:tlg5026.msAim.hmt:17.7,ἠδ' αλκῆς ἠδὲ φόβοιο,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.42
urn:cite:hmt:reuse.17_163,urn:cts:greekLit:tlg5026.msAim.hmt:17.11,ἀγάσσατο,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.71
urn:cite:hmt:reuse.17_164,urn:cts:greekLit:tlg5026.msAim.hmt:17.11,ἐφθόνησεν,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_165,urn:cts:greekLit:tlg5026.msAim.hmt:17.11,εθαύμασεν,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_166,urn:cts:greekLit:tlg5026.msAim.hmt:17.12,περιστήῳσι,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.95
urn:cite:hmt:reuse.17_167,urn:cts:greekLit:tlg5026.msAim.hmt:17.13,παραχωρήσαντα,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_168,urn:cts:greekLit:tlg5026.msAim.hmt:17.13,ὑποχωρήσαντα,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_169,urn:cts:greekLit:tlg5026.msAim.hmt:17.14,ιόντε,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.103
urn:cite:hmt:reuse.17_170,urn:cts:greekLit:tlg5026.msAim.hmt:17.15,ἑστήκει,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.133
urn:cite:hmt:reuse.17_171,urn:cts:greekLit:tlg5026.msAim.hmt:17.16,σαώσῃς,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.144
urn:cite:hmt:reuse.17_172,urn:cts:greekLit:tlg5026.msAim.hmt:17.19,τεθνῃὼς,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.161
urn:cite:hmt:reuse.17_173,urn:cts:greekLit:tlg5026.msAim.hmt:17.20,ἀγοίμεθα,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.163
urn:cite:hmt:reuse.17_174,urn:cts:greekLit:tlg5026.msAim.hmt:17.21,ὦ πέπον,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.171
urn:cite:hmt:reuse.17_175,urn:cts:greekLit:tlg5026.msAim.hmt:17.23,ἠέ περ ἀνδρός,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.176
