AnalysisRecord,PassageAnalyzed,QuotedString,Analysis,ReusedText
urn:cite:hmt:reuse.17_207,urn:cts:greekLit:tlg5026.msAint.hmt:17.13,μέμψηται,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.93
urn:cite:hmt:reuse.17_208,urn:cts:greekLit:tlg5026.msAint.hmt:17.14,εὐλαβοῦμαι,urn:cite:hmt:reusetype.quote3,
urn:cite:hmt:reuse.17_209,urn:cts:greekLit:tlg5026.msAint.hmt:17.15,διενται,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.110
urn:cite:hmt:reuse.17_210,urn:cts:greekLit:tlg5026.msAint.hmt:17.18,κύεν ἔτλης,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.153
urn:cite:hmt:reuse.17_211,urn:cts:greekLit:tlg5026.msAint.hmt:17.20,τί,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.170
urn:cite:hmt:reuse.17_212,urn:cts:greekLit:tlg5026.msAint.hmt:17.21,τότε δ' αὔτὸς,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.178
urn:cite:hmt:reuse.17_213,urn:cts:greekLit:tlg5026.msAint.hmt:17.22,μάλα,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.190
urn:cite:hmt:reuse.17_214,urn:cts:greekLit:tlg5026.msAint.hmt:17.22,τῆλε,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.190
urn:cite:hmt:reuse.17_215,urn:cts:greekLit:tlg5026.msAint.hmt:17.23,Ἴλιον,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.193
urn:cite:hmt:reuse.17_216,urn:cts:greekLit:tlg5026.msAint.hmt:17.31,ἔμπης,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.632
urn:cite:hmt:reuse.17_217,urn:cts:greekLit:tlg5026.msAint.hmt:17.31,ὁμοίως,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_218,urn:cts:greekLit:tlg5026.msAint.hmt:17.32,ἠέρι γὰρ κεκάλυπται,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.644
urn:cite:hmt:reuse.17_219,urn:cts:greekLit:tlg5026.msAint.hmt:17.34,κε κάμησι,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.658
urn:cite:hmt:reuse.17_220,urn:cts:greekLit:tlg5026.msAint.hmt:17.40,κεχολωμένον,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.710
urn:cite:hmt:reuse.17_221,urn:cts:greekLit:tlg5026.msAint.hmt:17.41,μένοντε,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.721
urn:cite:hmt:reuse.17_222,urn:cts:greekLit:tlg5026.msAil.hmt:17.1,ουκ ελ ἔλαθ' δὲ,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_223,urn:cts:greekLit:tlg5026.msAil.hmt:17.14,ἐγγύς,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_224,urn:cts:greekLit:tlg5026.msAil.hmt:17.18,κομισθείη,urn:cite:hmt:reusetype.langusage,urn:cts:greekLit:tlg0012.tlg001.msA:17.
urn:cite:hmt:reuse.17_225,urn:cts:greekLit:tlg5026.msAil.hmt:17.20,εἰσι,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.202
urn:cite:hmt:reuse.17_226,urn:cts:greekLit:tlg5026.msAil.hmt:17.24,ότρυνεν,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.215
urn:cite:hmt:reuse.17_227,urn:cts:greekLit:tlg5026.msAil.hmt:17.27,πολλῶν,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_228,urn:cts:greekLit:tlg5026.msAil.hmt:17.,,urn:cite:hmt:reusetype.,urn:cts:greekLit:tlg0012.tlg001.msA:17.
urn:cite:hmt:reuse.17_229,urn:cts:greekLit:tlg5026.msAil.hmt:17.,,urn:cite:hmt:reusetype.,urn:cts:greekLit:tlg0012.tlg001.msA:17.



