Slur,Reading,Image
urn:cite:hmt:venAslur.17-1,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:17.1@ἀρηΐφιλον,"urn:cite:hmt:vaimg.VA223VN-0725@0.669,0.2292,0.096,0.0308"
urn:cite:hmt:venAslur.17-2,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:17.198@νεφεληγερέτα,"urn:cite:hmt:vaimg.VA227RN-0398@0.43,0.6153,0.117,0.0248"
urn:cite:hmt:venAslur.17-2,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:17.627@ἑτεραλκέα,"urn:cite:hmt:vaimg.VA235VN-0737@0.73,0.6732,0.109,0.0255"
