Text,Image,Folio
urn:cts:greekLit:tlg5026.msAext.hmt:17.A1,"urn:cite:hmt:vaimg.VA223VN-0725@0.157,0.2855,0.039,0.0323",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAext.hmt:17.A2,"urn:cite:hmt:vaimg.VA224RN-0395@0.803,0.5154,0.08,0.0278",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAext.hmt:17.A3,"urn:cite:hmt:vaimg.VA224RN-0395@0.808,0.5635,0.059,0.021",urn:cite:hmt:msA.224r
